,threshold,TNR,FPR,FPR_std,FPR_upper,FPR_lower,TPR,TPR_std,TPR_upper,TPR_lower
0,0,1,1,0,1,1,0.833333333,0.085436962,1,0.714285714
0,0.1,1,0,0,0,0,0.833333333,0.085436962,1,0.714285714
0,0.22,1,0,0,0,0,0.75,0.089881695,0.88125,0.625
0,0.364,1,0,0,0,0,0.75,0.089881695,0.88125,0.625
0,0.5368,1,0,0,0,0,0.75,0.089881695,0.88125,0.625
0,0.74416,1,0,0,0,0,0.571428571,0.134929491,0.833333333,0.375
0,0.992992,1,0,0,0,0,0.571428571,0.134929491,0.833333333,0.375
0,1.2915904,1,0,0,0,0,0.571428571,0.134929491,0.833333333,0.375
0,1.64990848,1,0,0,0,0,0.571428571,0.134929491,0.833333333,0.375
0,2.079890176,1,0,0,0,0,0.571428571,0.134929491,0.833333333,0.375
0,2.595868211,1,0,0,0,0,0.571428571,0.134929491,0.833333333,0.375
0,3.215041853,1,0,0,0,0,0.571428571,0.134929491,0.833333333,0.375
0,3.958050224,1,0,0,0,0,0.571428571,0.134929491,0.833333333,0.375
0,4.849660269,1,0,0,0,0,0.428571429,0.154509532,0.666666667,0.166666667
0,5.919592323,1,0,0,0,0,0.428571429,0.154509532,0.666666667,0.166666667
0,7.203510787,1,0,0,0,0,0.428571429,0.154509532,0.666666667,0.166666667
0,8.744212945,1,0,0,0,0,0.428571429,0.154509532,0.666666667,0.166666667
0,10.59305553,1,0,0,0,0,0.428571429,0.154509532,0.666666667,0.166666667
0,12.81166664,1,0,0,0,0,0.428571429,0.154509532,0.666666667,0.166666667
0,15.47399997,1,0,0,0,0,0.428571429,0.154509532,0.666666667,0.166666667
0,18.66879996,1,0,0,0,0,0.428571429,0.154509532,0.666666667,0.166666667
0,22.50255995,1,0,0,0,0,0.428571429,0.154509532,0.666666667,0.166666667
0,27.10307195,1,0,0,0,0,0.428571429,0.154509532,0.666666667,0.166666667
0,32.62368633,1,0,0,0,0,0.333333333,0.146157546,0.571428571,0.111111111
0,39.2484236,1,0,0,0,0,0.333333333,0.146157546,0.571428571,0.111111111
0,47.19810832,1,0,0,0,0,0.272727273,0.152898476,0.5,0
0,56.73772999,1,0,0,0,0,0.2,0.137531712,0.333333333,0
0,68.18527598,1,0,0,0,0,0.1,0.068765856,0.166666667,0
0,81.92233118,1,0,0,0,0,0.1,0.068765856,0.166666667,0
0,98.40679742,1,0,0,0,0,0.1,0.068765856,0.166666667,0
0,118.1881569,1,0,0,0,0,0.1,0.068765856,0.166666667,0
0,0,0,0,0,0,0,0,1,0,0
