,threshold,TNR,FPR,FPR_std,FPR_upper,FPR_lower,TPR,TPR_std,TPR_upper,TPR_lower
0,0,1,1,0,1,1,0.807692308,0.058480133,0.909090909,0.714285714
0,0.1,0.740740741,0.259259259,0.051907962,0.333333333,0.166666667,0.807692308,0.058480133,0.909090909,0.714285714
0,0.22,0.766666667,0.233333333,0.050611526,0.318272727,0.148148148,0.807692308,0.058480133,0.909090909,0.714285714
0,0.364,0.785714286,0.214285714,0.048499859,0.291666667,0.125,0.807692308,0.058480133,0.909090909,0.714285714
0,0.5368,0.814814815,0.185185185,0.046640088,0.259259259,0.107142857,0.75,0.062624616,0.857142857,0.65
0,0.74416,0.814814815,0.185185185,0.046640088,0.259259259,0.107142857,0.75,0.062624616,0.857142857,0.65
0,0.992992,0.814814815,0.185185185,0.046640088,0.259259259,0.107142857,0.75,0.062624616,0.857142857,0.65
0,1.2915904,0.814814815,0.185185185,0.046640088,0.259259259,0.107142857,0.75,0.062624616,0.857142857,0.65
0,1.64990848,0.814814815,0.185185185,0.046640088,0.259259259,0.107142857,0.75,0.062624616,0.857142857,0.65
0,2.079890176,0.814814815,0.185185185,0.046640088,0.259259259,0.107142857,0.75,0.062624616,0.857142857,0.65
0,2.595868211,0.814814815,0.185185185,0.046640088,0.259259259,0.107142857,0.75,0.062624616,0.857142857,0.65
0,3.215041853,0.814814815,0.185185185,0.046640088,0.259259259,0.107142857,0.75,0.062624616,0.857142857,0.65
0,3.958050224,0.814814815,0.185185185,0.046640088,0.259259259,0.107142857,0.75,0.062624616,0.857142857,0.65
0,4.849660269,0.857142857,0.142857143,0.041202658,0.206896552,0.071428571,0.695652174,0.06541381,0.807692308,0.590909091
0,5.919592323,0.857142857,0.142857143,0.041202658,0.206896552,0.071428571,0.666666667,0.06678936,0.777777778,0.555555556
0,7.203510787,0.857142857,0.142857143,0.041202658,0.206896552,0.071428571,0.666666667,0.06678936,0.777777778,0.555555556
0,8.744212945,0.884615385,0.115384615,0.038233263,0.178571429,0.043478261,0.64,0.067473638,0.7505,0.526315789
0,10.59305553,0.9,0.1,0.03487847,0.148148148,0.035714286,0.64,0.067473638,0.7505,0.526315789
0,12.81166664,0.961538462,0.038461538,0.025249484,0.08,0,0.64,0.067473638,0.7505,0.526315789
0,15.47399997,0.961538462,0.038461538,0.025249484,0.08,0,0.64,0.067473638,0.7505,0.526315789
0,18.66879996,0.961538462,0.038461538,0.025249484,0.08,0,0.611111111,0.069046786,0.727272727,0.5
0,22.50255995,0.961538462,0.038461538,0.025249484,0.08,0,0.56,0.069726181,0.666666667,0.45
0,27.10307195,0.961538462,0.038461538,0.025249484,0.08,0,0.523809524,0.071171898,0.65,0.416666667
0,32.62368633,0.961538462,0.038461538,0.025249484,0.08,0,0.5,0.067570319,0.608695652,0.399565217
0,39.2484236,0.961538462,0.038461538,0.025249484,0.08,0,0.476190476,0.070298011,0.590909091,0.363636364
0,47.19810832,0.961538462,0.038461538,0.025249484,0.08,0,0.444444444,0.070118207,0.565217391,0.333333333
0,56.73772999,0.961538462,0.038461538,0.025249484,0.08,0,0.444444444,0.070118207,0.565217391,0.333333333
0,68.18527598,0.961538462,0.038461538,0.025249484,0.08,0,0.444444444,0.070118207,0.565217391,0.333333333
0,81.92233118,0.961538462,0.038461538,0.025249484,0.08,0,0.444444444,0.070118207,0.565217391,0.333333333
0,98.40679742,0.961538462,0.038461538,0.025249484,0.08,0,0.416666667,0.069706437,0.526315789,0.304347826
0,118.1881569,0.961538462,0.038461538,0.025249484,0.08,0,0.391304348,0.069061751,0.5,0.277525253
0,0,0,0,0,0,0,0,1,0,0
