,threshold,TNR,FPR,FPR_std,FPR_upper,FPR_lower,TPR,TPR_std,TPR_upper,TPR_lower
0,0,1,1,0,1,1,0.844444444,0.031999922,0.897959184,0.791666667
0,0.1,0.675324675,0.324675325,0.030987103,0.373493976,0.271604938,0.844444444,0.031999922,0.897959184,0.791666667
0,0.22,0.746987952,0.253012048,0.028984829,0.3,0.205128205,0.844444444,0.031999922,0.897959184,0.791666667
0,0.364,0.771084337,0.228915663,0.028040118,0.275,0.182926829,0.844444444,0.031999922,0.897959184,0.791666667
0,0.5368,0.810810811,0.189189189,0.026262076,0.231707317,0.144728916,0.830188679,0.033009019,0.886792453,0.777777778
0,0.74416,0.833333333,0.166666667,0.025026943,0.205479452,0.12345679,0.830188679,0.033009019,0.886792453,0.777777778
0,0.992992,0.85,0.15,0.024067116,0.188282989,0.109756098,0.830188679,0.033009019,0.886792453,0.777777778
0,1.2915904,0.85,0.15,0.024067116,0.188282989,0.109756098,0.818181818,0.03354919,0.875,0.765894869
0,1.64990848,0.880952381,0.119047619,0.021691684,0.152941176,0.082191781,0.818181818,0.03354919,0.875,0.765894869
0,2.079890176,0.897435897,0.102564103,0.020616867,0.135802469,0.066666667,0.807354926,0.034916609,0.862745098,0.75
0,2.595868211,0.904761905,0.095238095,0.019825124,0.126582278,0.061728395,0.79245283,0.035526978,0.851942186,0.734693878
0,3.215041853,0.9125,0.0875,0.01908953,0.116883117,0.052631579,0.78,0.036201901,0.84,0.722157623
0,3.958050224,0.922649573,0.077350427,0.018165847,0.108108108,0.048780488,0.754716981,0.037623709,0.816326531,0.692307692
0,4.849660269,0.9375,0.0625,0.016308318,0.088607595,0.036144578,0.74,0.037564475,0.803921569,0.680851064
0,5.919592323,0.9375,0.0625,0.016308318,0.088607595,0.036144578,0.729166667,0.04034484,0.795454545,0.66
0,7.203510787,0.946306306,0.053693694,0.01530847,0.077922078,0.026315789,0.714285714,0.040602465,0.782608696,0.648093682
0,8.744212945,0.946306306,0.053693694,0.01530847,0.077922078,0.026315789,0.714285714,0.040602465,0.782608696,0.648093682
0,10.59305553,0.951219512,0.048780488,0.014312264,0.070588235,0.024390244,0.70212766,0.041209162,0.769310897,0.634071677
0,12.81166664,0.962025316,0.037974684,0.013007229,0.06097561,0.012987013,0.675,0.042077152,0.744680851,0.605263158
0,15.47399997,0.962025316,0.037974684,0.013007229,0.06097561,0.012987013,0.675,0.042077152,0.744680851,0.605263158
0,18.66879996,0.964705882,0.035294118,0.011797582,0.050632911,0.012345679,0.675,0.042077152,0.744680851,0.605263158
0,22.50255995,0.964705882,0.035294118,0.011797582,0.050632911,0.012345679,0.675,0.042077152,0.744680851,0.605263158
0,27.10307195,0.975308642,0.024691358,0.010278061,0.038461538,0.011357252,0.652173913,0.042904507,0.72,0.578947368
0,32.62368633,0.975308642,0.024691358,0.010278061,0.038461538,0.011357252,0.612244898,0.044676599,0.682991014,0.538461538
0,39.2484236,0.975308642,0.024691358,0.010278061,0.038461538,0.011357252,0.6,0.045158278,0.673469388,0.52173913
0,47.19810832,0.975308642,0.024691358,0.010278061,0.038461538,0.011357252,0.56,0.046702325,0.636363636,0.480769231
0,56.73772999,0.987179487,0.012820513,0.008417867,0.025974026,0,0.56,0.046702325,0.636363636,0.480769231
0,68.18527598,0.987179487,0.012820513,0.008417867,0.025974026,0,0.52,0.045805831,0.595765139,0.444444444
0,81.92233118,0.987179487,0.012820513,0.008417867,0.025974026,0,0.509803922,0.046179526,0.583333333,0.433962264
0,98.40679742,0.987179487,0.012820513,0.008417867,0.025974026,0,0.48,0.04583556,0.555555556,0.408163265
0,118.1881569,0.987951807,0.012048193,0.005960367,0.013157895,0,0.456521739,0.045506757,0.530612245,0.381818182
0,0,0,0,0,0,0,0,1,0,0
