,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.5,0,0,1,1,0
0,0.1,4,4,2,4,0.5,0.333333333,0.5,0.333333333,0.666666667,-0.166666667
0,0.22,4,3,3,4,0.5,0.5,0.571428571,0.428571429,0.5,0
0,0.364,4,3,3,4,0.5,0.5,0.571428571,0.428571429,0.5,0
0,0.5368,3,3,3,5,0.375,0.5,0.5,0.375,0.5,-0.125
0,0.74416,3,3,3,5,0.375,0.5,0.5,0.375,0.5,-0.125
0,0.992992,3,2,4,5,0.375,0.666666667,0.6,0.444444444,0.333333333,0.041666667
0,1.2915904,3,1,5,5,0.375,0.833333333,0.75,0.5,0.166666667,0.208333333
0,1.64990848,2,0,6,6,0.25,1,1,0.5,0,0.25
0,2.079890176,2,0,6,6,0.25,1,1,0.5,0,0.25
0,2.595868211,2,0,6,6,0.25,1,1,0.5,0,0.25
0,3.215041853,2,0,6,6,0.25,1,1,0.5,0,0.25
0,3.958050224,2,0,6,6,0.25,1,1,0.5,0,0.25
0,4.849660269,2,0,6,6,0.25,1,1,0.5,0,0.25
0,5.919592323,2,0,6,6,0.25,1,1,0.5,0,0.25
0,7.203510787,2,0,6,6,0.25,1,1,0.5,0,0.25
0,8.744212945,2,0,6,6,0.25,1,1,0.5,0,0.25
0,10.59305553,2,0,6,6,0.25,1,1,0.5,0,0.25
0,12.81166664,2,0,6,6,0.25,1,1,0.5,0,0.25
0,15.47399997,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,18.66879996,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,22.50255995,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,27.10307195,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,32.62368633,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,39.2484236,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,47.19810832,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,56.73772999,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,68.18527598,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,81.92233118,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,98.40679742,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,118.1881569,1,0,6,7,0.125,1,1,0.461538462,0,0.125
0,0,0,0,0,0,0,1,1,0,0,0
