,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.891891892,0,0,1,1,0
0,0.1,33,4,40,4,0.891891892,0.909090909,0.891891892,0.909090909,0.090909091,0.800982801
0,0.22,33,4,40,4,0.891891892,0.909090909,0.891891892,0.909090909,0.090909091,0.800982801
0,0.364,32,4,40,5,0.864864865,0.909090909,0.888888889,0.888888889,0.090909091,0.773955774
0,0.5368,31,4,40,6,0.837837838,0.909090909,0.885714286,0.869565217,0.090909091,0.746928747
0,0.74416,31,4,40,6,0.837837838,0.909090909,0.885714286,0.869565217,0.090909091,0.746928747
0,0.992992,31,4,40,6,0.837837838,0.909090909,0.885714286,0.869565217,0.090909091,0.746928747
0,1.2915904,31,4,40,6,0.837837838,0.909090909,0.885714286,0.869565217,0.090909091,0.746928747
0,1.64990848,31,3,41,6,0.837837838,0.931818182,0.911764706,0.872340426,0.068181818,0.76965602
0,2.079890176,31,3,41,6,0.837837838,0.931818182,0.911764706,0.872340426,0.068181818,0.76965602
0,2.595868211,31,1,43,6,0.837837838,0.977272727,0.96875,0.87755102,0.022727273,0.815110565
0,3.215041853,30,0,44,7,0.810810811,1,1,0.862745098,0,0.810810811
0,3.958050224,28,0,44,9,0.756756757,1,1,0.830188679,0,0.756756757
0,4.849660269,28,0,44,9,0.756756757,1,1,0.830188679,0,0.756756757
0,5.919592323,27,0,44,10,0.72972973,1,1,0.814814815,0,0.72972973
0,7.203510787,24,0,44,13,0.648648649,1,1,0.771929825,0,0.648648649
0,8.744212945,23,0,44,14,0.621621622,1,1,0.75862069,0,0.621621622
0,10.59305553,23,0,44,14,0.621621622,1,1,0.75862069,0,0.621621622
0,12.81166664,23,0,44,14,0.621621622,1,1,0.75862069,0,0.621621622
0,15.47399997,22,0,44,15,0.594594595,1,1,0.745762712,0,0.594594595
0,18.66879996,22,0,44,15,0.594594595,1,1,0.745762712,0,0.594594595
0,22.50255995,20,0,44,17,0.540540541,1,1,0.721311475,0,0.540540541
0,27.10307195,19,0,44,18,0.513513514,1,1,0.709677419,0,0.513513514
0,32.62368633,17,0,44,20,0.459459459,1,1,0.6875,0,0.459459459
0,39.2484236,17,0,44,20,0.459459459,1,1,0.6875,0,0.459459459
0,47.19810832,17,0,44,20,0.459459459,1,1,0.6875,0,0.459459459
0,56.73772999,17,0,44,20,0.459459459,1,1,0.6875,0,0.459459459
0,68.18527598,17,0,44,20,0.459459459,1,1,0.6875,0,0.459459459
0,81.92233118,16,0,44,21,0.432432432,1,1,0.676923077,0,0.432432432
0,98.40679742,16,0,44,21,0.432432432,1,1,0.676923077,0,0.432432432
0,118.1881569,16,0,44,21,0.432432432,1,1,0.676923077,0,0.432432432
0,0,0,0,0,0,0,1,1,0,0,0
