,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.891891892,0,0,1,1,0
0,0.1,33,15,29,4,0.891891892,0.659090909,0.6875,0.878787879,0.340909091,0.550982801
0,0.22,33,13,31,4,0.891891892,0.704545455,0.717391304,0.885714286,0.295454545,0.596437346
0,0.364,32,12,32,5,0.864864865,0.727272727,0.727272727,0.864864865,0.272727273,0.592137592
0,0.5368,32,11,33,5,0.864864865,0.75,0.744186047,0.868421053,0.25,0.614864865
0,0.74416,31,10,34,6,0.837837838,0.772727273,0.756097561,0.85,0.227272727,0.610565111
0,0.992992,31,8,36,6,0.837837838,0.818181818,0.794871795,0.857142857,0.181818182,0.656019656
0,1.2915904,31,8,36,6,0.837837838,0.818181818,0.794871795,0.857142857,0.181818182,0.656019656
0,1.64990848,31,7,37,6,0.837837838,0.840909091,0.815789474,0.860465116,0.159090909,0.678746929
0,2.079890176,31,7,37,6,0.837837838,0.840909091,0.815789474,0.860465116,0.159090909,0.678746929
0,2.595868211,31,4,40,6,0.837837838,0.909090909,0.885714286,0.869565217,0.090909091,0.746928747
0,3.215041853,30,2,42,7,0.810810811,0.954545455,0.9375,0.857142857,0.045454545,0.765356265
0,3.958050224,28,2,42,9,0.756756757,0.954545455,0.933333333,0.823529412,0.045454545,0.711302211
0,4.849660269,28,0,44,9,0.756756757,1,1,0.830188679,0,0.756756757
0,5.919592323,27,0,44,10,0.72972973,1,1,0.814814815,0,0.72972973
0,7.203510787,24,0,44,13,0.648648649,1,1,0.771929825,0,0.648648649
0,8.744212945,23,0,44,14,0.621621622,1,1,0.75862069,0,0.621621622
0,10.59305553,23,0,44,14,0.621621622,1,1,0.75862069,0,0.621621622
0,12.81166664,23,0,44,14,0.621621622,1,1,0.75862069,0,0.621621622
0,15.47399997,22,0,44,15,0.594594595,1,1,0.745762712,0,0.594594595
0,18.66879996,22,0,44,15,0.594594595,1,1,0.745762712,0,0.594594595
0,22.50255995,20,0,44,17,0.540540541,1,1,0.721311475,0,0.540540541
0,27.10307195,19,0,44,18,0.513513514,1,1,0.709677419,0,0.513513514
0,32.62368633,19,0,44,18,0.513513514,1,1,0.709677419,0,0.513513514
0,39.2484236,19,0,44,18,0.513513514,1,1,0.709677419,0,0.513513514
0,47.19810832,19,0,44,18,0.513513514,1,1,0.709677419,0,0.513513514
0,56.73772999,19,0,44,18,0.513513514,1,1,0.709677419,0,0.513513514
0,68.18527598,17,0,44,20,0.459459459,1,1,0.6875,0,0.459459459
0,81.92233118,16,0,44,21,0.432432432,1,1,0.676923077,0,0.432432432
0,98.40679742,16,0,44,21,0.432432432,1,1,0.676923077,0,0.432432432
0,118.1881569,16,0,44,21,0.432432432,1,1,0.676923077,0,0.432432432
0,0,0,0,0,0,0,1,1,0,0,0
