,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.891891892,0,0,1,1,0
0,0.1,33,7,37,4,0.891891892,0.840909091,0.825,0.902439024,0.159090909,0.732800983
0,0.22,33,7,37,4,0.891891892,0.840909091,0.825,0.902439024,0.159090909,0.732800983
0,0.364,33,7,37,4,0.891891892,0.840909091,0.825,0.902439024,0.159090909,0.732800983
0,0.5368,33,6,38,4,0.891891892,0.863636364,0.846153846,0.904761905,0.136363636,0.755528256
0,0.74416,33,6,38,4,0.891891892,0.863636364,0.846153846,0.904761905,0.136363636,0.755528256
0,0.992992,33,5,39,4,0.891891892,0.886363636,0.868421053,0.906976744,0.113636364,0.778255528
0,1.2915904,33,4,40,4,0.891891892,0.909090909,0.891891892,0.909090909,0.090909091,0.800982801
0,1.64990848,32,4,40,5,0.864864865,0.909090909,0.888888889,0.888888889,0.090909091,0.773955774
0,2.079890176,32,4,40,5,0.864864865,0.909090909,0.888888889,0.888888889,0.090909091,0.773955774
0,2.595868211,31,4,40,6,0.837837838,0.909090909,0.885714286,0.869565217,0.090909091,0.746928747
0,3.215041853,29,4,40,8,0.783783784,0.909090909,0.878787879,0.833333333,0.090909091,0.692874693
0,3.958050224,28,4,40,9,0.756756757,0.909090909,0.875,0.816326531,0.090909091,0.665847666
0,4.849660269,28,4,40,9,0.756756757,0.909090909,0.875,0.816326531,0.090909091,0.665847666
0,5.919592323,26,3,41,11,0.702702703,0.931818182,0.896551724,0.788461538,0.068181818,0.634520885
0,7.203510787,25,3,41,12,0.675675676,0.931818182,0.892857143,0.773584906,0.068181818,0.607493857
0,8.744212945,25,2,42,12,0.675675676,0.954545455,0.925925926,0.777777778,0.045454545,0.63022113
0,10.59305553,24,2,42,13,0.648648649,0.954545455,0.923076923,0.763636364,0.045454545,0.603194103
0,12.81166664,22,2,42,15,0.594594595,0.954545455,0.916666667,0.736842105,0.045454545,0.549140049
0,15.47399997,22,2,42,15,0.594594595,0.954545455,0.916666667,0.736842105,0.045454545,0.549140049
0,18.66879996,21,2,42,16,0.567567568,0.954545455,0.913043478,0.724137931,0.045454545,0.522113022
0,22.50255995,21,2,42,16,0.567567568,0.954545455,0.913043478,0.724137931,0.045454545,0.522113022
0,27.10307195,21,2,42,16,0.567567568,0.954545455,0.913043478,0.724137931,0.045454545,0.522113022
0,32.62368633,21,2,42,16,0.567567568,0.954545455,0.913043478,0.724137931,0.045454545,0.522113022
0,39.2484236,20,1,43,17,0.540540541,0.977272727,0.952380952,0.716666667,0.022727273,0.517813268
0,47.19810832,18,1,43,19,0.486486486,0.977272727,0.947368421,0.693548387,0.022727273,0.463759214
0,56.73772999,17,1,43,20,0.459459459,0.977272727,0.944444444,0.682539683,0.022727273,0.436732187
0,68.18527598,14,1,43,23,0.378378378,0.977272727,0.933333333,0.651515152,0.022727273,0.355651106
0,81.92233118,12,1,43,25,0.324324324,0.977272727,0.923076923,0.632352941,0.022727273,0.301597052
0,98.40679742,12,1,43,25,0.324324324,0.977272727,0.923076923,0.632352941,0.022727273,0.301597052
0,118.1881569,11,1,43,26,0.297297297,0.977272727,0.916666667,0.623188406,0.022727273,0.274570025
0,0,0,0,0,0,0,1,1,0,0,0
