,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.891891892,0,0,1,1,0
0,0.1,33,6,37,4,0.891891892,0.860465116,0.846153846,0.902439024,0.139534884,0.752357008
0,0.22,33,6,37,4,0.891891892,0.860465116,0.846153846,0.902439024,0.139534884,0.752357008
0,0.364,32,5,38,5,0.864864865,0.88372093,0.864864865,0.88372093,0.11627907,0.748585795
0,0.5368,31,5,38,6,0.837837838,0.88372093,0.861111111,0.863636364,0.11627907,0.721558768
0,0.74416,31,5,38,6,0.837837838,0.88372093,0.861111111,0.863636364,0.11627907,0.721558768
0,0.992992,31,4,39,6,0.837837838,0.906976744,0.885714286,0.866666667,0.093023256,0.744814582
0,1.2915904,31,4,39,6,0.837837838,0.906976744,0.885714286,0.866666667,0.093023256,0.744814582
0,1.64990848,31,3,40,6,0.837837838,0.930232558,0.911764706,0.869565217,0.069767442,0.768070396
0,2.079890176,31,3,40,6,0.837837838,0.930232558,0.911764706,0.869565217,0.069767442,0.768070396
0,2.595868211,31,1,42,6,0.837837838,0.976744186,0.96875,0.875,0.023255814,0.814582024
0,3.215041853,30,0,43,7,0.810810811,1,1,0.86,0,0.810810811
0,3.958050224,28,0,43,9,0.756756757,1,1,0.826923077,0,0.756756757
0,4.849660269,28,0,43,9,0.756756757,1,1,0.826923077,0,0.756756757
0,5.919592323,27,0,43,10,0.72972973,1,1,0.811320755,0,0.72972973
0,7.203510787,24,0,43,13,0.648648649,1,1,0.767857143,0,0.648648649
0,8.744212945,23,0,43,14,0.621621622,1,1,0.754385965,0,0.621621622
0,10.59305553,23,0,43,14,0.621621622,1,1,0.754385965,0,0.621621622
0,12.81166664,23,0,43,14,0.621621622,1,1,0.754385965,0,0.621621622
0,15.47399997,22,0,43,15,0.594594595,1,1,0.74137931,0,0.594594595
0,18.66879996,22,0,43,15,0.594594595,1,1,0.74137931,0,0.594594595
0,22.50255995,20,0,43,17,0.540540541,1,1,0.716666667,0,0.540540541
0,27.10307195,19,0,43,18,0.513513514,1,1,0.704918033,0,0.513513514
0,32.62368633,17,0,43,20,0.459459459,1,1,0.682539683,0,0.459459459
0,39.2484236,17,0,43,20,0.459459459,1,1,0.682539683,0,0.459459459
0,47.19810832,17,0,43,20,0.459459459,1,1,0.682539683,0,0.459459459
0,56.73772999,17,0,43,20,0.459459459,1,1,0.682539683,0,0.459459459
0,68.18527598,17,0,43,20,0.459459459,1,1,0.682539683,0,0.459459459
0,81.92233118,16,0,43,21,0.432432432,1,1,0.671875,0,0.432432432
0,98.40679742,16,0,43,21,0.432432432,1,1,0.671875,0,0.432432432
0,118.1881569,16,0,43,21,0.432432432,1,1,0.671875,0,0.432432432
0,0,0,0,0,0,0,1,1,0,0,0
