,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.6666666666666670,0,0,1,1.0,0.0
0,0.1,6.0,0.0,44.0,3.0,0.6666666666666670,1.0,1.0,0.9361702127659580,0.0,0.6666666666666670
0,0.22,6.0,0.0,44.0,3.0,0.6666666666666670,1.0,1.0,0.9361702127659580,0.0,0.6666666666666670
0,0.364,6.0,0.0,44.0,3.0,0.6666666666666670,1.0,1.0,0.9361702127659580,0.0,0.6666666666666670
0,0.5368000000000000,6.0,0.0,44.0,3.0,0.6666666666666670,1.0,1.0,0.9361702127659580,0.0,0.6666666666666670
0,0.7441600000000000,4.0,0.0,44.0,5.0,0.4444444444444440,1.0,1.0,0.8979591836734690,0.0,0.4444444444444440
0,0.9929920000000000,4.0,0.0,44.0,5.0,0.4444444444444440,1.0,1.0,0.8979591836734690,0.0,0.4444444444444440
0,1.2915904000000000,4.0,0.0,44.0,5.0,0.4444444444444440,1.0,1.0,0.8979591836734690,0.0,0.4444444444444440
0,1.64990848,4.0,0.0,44.0,5.0,0.4444444444444440,1.0,1.0,0.8979591836734690,0.0,0.4444444444444440
0,2.0798901760000000,4.0,0.0,44.0,5.0,0.4444444444444440,1.0,1.0,0.8979591836734690,0.0,0.4444444444444440
0,2.5958682112000000,3.0,0.0,44.0,6.0,0.3333333333333330,1.0,1.0,0.88,0.0,0.33333333333333300
0,3.2150418534400000,3.0,0.0,44.0,6.0,0.3333333333333330,1.0,1.0,0.88,0.0,0.33333333333333300
0,3.9580502241280000,3.0,0.0,44.0,6.0,0.3333333333333330,1.0,1.0,0.88,0.0,0.33333333333333300
0,4.849660268953600,2.0,0.0,44.0,7.0,0.2222222222222220,1.0,1.0,0.8627450980392160,0.0,0.22222222222222200
0,5.919592322744320,2.0,0.0,44.0,7.0,0.2222222222222220,1.0,1.0,0.8627450980392160,0.0,0.22222222222222200
0,7.203510787293180,2.0,0.0,44.0,7.0,0.2222222222222220,1.0,1.0,0.8627450980392160,0.0,0.22222222222222200
0,8.744212944751820,2.0,0.0,44.0,7.0,0.2222222222222220,1.0,1.0,0.8627450980392160,0.0,0.22222222222222200
0,10.59305553370220,1.0,0.0,44.0,8.0,0.1111111111111110,1.0,1.0,0.8461538461538460,0.0,0.11111111111111100
0,12.811666640442600,1.0,0.0,44.0,8.0,0.1111111111111110,1.0,1.0,0.8461538461538460,0.0,0.11111111111111100
0,15.473999968531100,1.0,0.0,44.0,8.0,0.1111111111111110,1.0,1.0,0.8461538461538460,0.0,0.11111111111111100
0,18.66879996223740,1.0,0.0,44.0,8.0,0.1111111111111110,1.0,1.0,0.8461538461538460,0.0,0.11111111111111100
0,22.502559954684800,1.0,0.0,44.0,8.0,0.1111111111111110,1.0,1.0,0.8461538461538460,0.0,0.11111111111111100
0,27.103071945621800,1.0,0.0,44.0,8.0,0.1111111111111110,1.0,1.0,0.8461538461538460,0.0,0.11111111111111100
0,32.623686334746200,1.0,0.0,44.0,8.0,0.1111111111111110,1.0,1.0,0.8461538461538460,0.0,0.11111111111111100
0,39.24842360169540,1.0,0.0,44.0,8.0,0.1111111111111110,1.0,1.0,0.8461538461538460,0.0,0.11111111111111100
0,47.198108322034500,1.0,0.0,44.0,8.0,0.1111111111111110,1.0,1.0,0.8461538461538460,0.0,0.11111111111111100
0,56.73772998644140,1.0,0.0,44.0,8.0,0.1111111111111110,1.0,1.0,0.8461538461538460,0.0,0.11111111111111100
0,68.18527598372970,0.0,0.0,44.0,9.0,0.0,1.0,0,0.8301886792452830,0.0,0.0
0,81.92233118047560,0.0,0.0,44.0,9.0,0.0,1.0,0,0.8301886792452830,0.0,0.0
0,98.40679741657070,0.0,0.0,44.0,9.0,0.0,1.0,0,0.8301886792452830,0.0,0.0
0,118.1881568998850,0.0,0.0,44.0,9.0,0.0,1.0,0,0.8301886792452830,0.0,0.0
0,0,0,0,0,0,0,1,1,0,0.0,0.0
