,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.913043478,0,0,1,1,0
0,0.1,21,5,18,2,0.913043478,0.782608696,0.807692308,0.9,0.217391304,0.695652174
0,0.22,21,5,18,2,0.913043478,0.782608696,0.807692308,0.9,0.217391304,0.695652174
0,0.364,21,5,18,2,0.913043478,0.782608696,0.807692308,0.9,0.217391304,0.695652174
0,0.5368,21,5,18,2,0.913043478,0.782608696,0.807692308,0.9,0.217391304,0.695652174
0,0.74416,21,5,18,2,0.913043478,0.782608696,0.807692308,0.9,0.217391304,0.695652174
0,0.992992,21,3,20,2,0.913043478,0.869565217,0.875,0.909090909,0.130434783,0.782608696
0,1.2915904,21,2,21,2,0.913043478,0.913043478,0.913043478,0.913043478,0.086956522,0.826086957
0,1.64990848,21,1,22,2,0.913043478,0.956521739,0.954545455,0.916666667,0.043478261,0.869565217
0,2.079890176,21,1,22,2,0.913043478,0.956521739,0.954545455,0.916666667,0.043478261,0.869565217
0,2.595868211,20,1,22,3,0.869565217,0.956521739,0.952380952,0.88,0.043478261,0.826086957
0,3.215041853,19,0,23,4,0.826086957,1,1,0.851851852,0,0.826086957
0,3.958050224,18,0,23,5,0.782608696,1,1,0.821428571,0,0.782608696
0,4.849660269,18,0,23,5,0.782608696,1,1,0.821428571,0,0.782608696
0,5.919592323,16,0,23,7,0.695652174,1,1,0.766666667,0,0.695652174
0,7.203510787,14,0,23,9,0.608695652,1,1,0.71875,0,0.608695652
0,8.744212945,14,0,23,9,0.608695652,1,1,0.71875,0,0.608695652
0,10.59305553,13,0,23,10,0.565217391,1,1,0.696969697,0,0.565217391
0,12.81166664,12,0,23,11,0.52173913,1,1,0.676470588,0,0.52173913
0,15.47399997,12,0,23,11,0.52173913,1,1,0.676470588,0,0.52173913
0,18.66879996,12,0,23,11,0.52173913,1,1,0.676470588,0,0.52173913
0,22.50255995,12,0,23,11,0.52173913,1,1,0.676470588,0,0.52173913
0,27.10307195,10,0,23,13,0.434782609,1,1,0.638888889,0,0.434782609
0,32.62368633,9,0,23,14,0.391304348,1,1,0.621621622,0,0.391304348
0,39.2484236,9,0,23,14,0.391304348,1,1,0.621621622,0,0.391304348
0,47.19810832,9,0,23,14,0.391304348,1,1,0.621621622,0,0.391304348
0,56.73772999,9,0,23,14,0.391304348,1,1,0.621621622,0,0.391304348
0,68.18527598,8,0,23,15,0.347826087,1,1,0.605263158,0,0.347826087
0,81.92233118,7,0,23,16,0.304347826,1,1,0.58974359,0,0.304347826
0,98.40679742,7,0,23,16,0.304347826,1,1,0.58974359,0,0.304347826
0,118.1881569,6,0,23,17,0.260869565,1,1,0.575,0,0.260869565
0,0,0,0,0,0,0,1,1,0,0,0
