,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.8,0,0,1,1,0
0,0.1,16,1,21,4,0.8,0.954545455,0.941176471,0.84,0.045454545,0.754545455
0,0.22,16,0,22,4,0.8,1,1,0.846153846,0,0.8
0,0.364,16,0,22,4,0.8,1,1,0.846153846,0,0.8
0,0.5368,14,0,22,6,0.7,1,1,0.785714286,0,0.7
0,0.74416,14,0,22,6,0.7,1,1,0.785714286,0,0.7
0,0.992992,14,0,22,6,0.7,1,1,0.785714286,0,0.7
0,1.2915904,13,0,22,7,0.65,1,1,0.75862069,0,0.65
0,1.64990848,13,0,22,7,0.65,1,1,0.75862069,0,0.65
0,2.079890176,13,0,22,7,0.65,1,1,0.75862069,0,0.65
0,2.595868211,13,0,22,7,0.65,1,1,0.75862069,0,0.65
0,3.215041853,12,0,22,8,0.6,1,1,0.733333333,0,0.6
0,3.958050224,12,0,22,8,0.6,1,1,0.733333333,0,0.6
0,4.849660269,11,0,22,9,0.55,1,1,0.709677419,0,0.55
0,5.919592323,11,0,22,9,0.55,1,1,0.709677419,0,0.55
0,7.203510787,10,0,22,10,0.5,1,1,0.6875,0,0.5
0,8.744212945,10,0,22,10,0.5,1,1,0.6875,0,0.5
0,10.59305553,10,0,22,10,0.5,1,1,0.6875,0,0.5
0,12.81166664,10,0,22,10,0.5,1,1,0.6875,0,0.5
0,15.47399997,9,0,22,11,0.45,1,1,0.666666667,0,0.45
0,18.66879996,9,0,22,11,0.45,1,1,0.666666667,0,0.45
0,22.50255995,8,0,22,12,0.4,1,1,0.647058824,0,0.4
0,27.10307195,8,0,22,12,0.4,1,1,0.647058824,0,0.4
0,32.62368633,6,0,22,14,0.3,1,1,0.611111111,0,0.3
0,39.2484236,5,0,22,15,0.25,1,1,0.594594595,0,0.25
0,47.19810832,4,0,22,16,0.2,1,1,0.578947368,0,0.2
0,56.73772999,4,0,22,16,0.2,1,1,0.578947368,0,0.2
0,68.18527598,3,0,22,17,0.15,1,1,0.564102564,0,0.15
0,81.92233118,2,0,22,18,0.1,1,1,0.55,0,0.1
0,98.40679742,2,0,22,18,0.1,1,1,0.55,0,0.1
0,118.1881569,2,0,22,18,0.1,1,1,0.55,0,0.1
0,0,0,0,0,0,0,1,1,0,0,0
