,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.863636364,0,0,1,1,0
0,0.1,19,5,20,3,0.863636364,0.8,0.791666667,0.869565217,0.2,0.663636364
0,0.22,19,5,20,3,0.863636364,0.8,0.791666667,0.869565217,0.2,0.663636364
0,0.364,18,5,20,4,0.818181818,0.8,0.782608696,0.833333333,0.2,0.618181818
0,0.5368,18,3,22,4,0.818181818,0.88,0.857142857,0.846153846,0.12,0.698181818
0,0.74416,18,2,23,4,0.818181818,0.92,0.9,0.851851852,0.08,0.738181818
0,0.992992,18,2,23,4,0.818181818,0.92,0.9,0.851851852,0.08,0.738181818
0,1.2915904,18,2,23,4,0.818181818,0.92,0.9,0.851851852,0.08,0.738181818
0,1.64990848,18,1,24,4,0.818181818,0.96,0.947368421,0.857142857,0.04,0.778181818
0,2.079890176,18,1,24,4,0.818181818,0.96,0.947368421,0.857142857,0.04,0.778181818
0,2.595868211,17,1,24,5,0.772727273,0.96,0.944444444,0.827586207,0.04,0.732727273
0,3.215041853,17,1,24,5,0.772727273,0.96,0.944444444,0.827586207,0.04,0.732727273
0,3.958050224,16,1,24,6,0.727272727,0.96,0.941176471,0.8,0.04,0.687272727
0,4.849660269,16,1,24,6,0.727272727,0.96,0.941176471,0.8,0.04,0.687272727
0,5.919592323,16,1,24,6,0.727272727,0.96,0.941176471,0.8,0.04,0.687272727
0,7.203510787,15,1,24,7,0.681818182,0.96,0.9375,0.774193548,0.04,0.641818182
0,8.744212945,15,1,24,7,0.681818182,0.96,0.9375,0.774193548,0.04,0.641818182
0,10.59305553,15,0,25,7,0.681818182,1,1,0.78125,0,0.681818182
0,12.81166664,14,0,25,8,0.636363636,1,1,0.757575758,0,0.636363636
0,15.47399997,14,0,25,8,0.636363636,1,1,0.757575758,0,0.636363636
0,18.66879996,14,0,25,8,0.636363636,1,1,0.757575758,0,0.636363636
0,22.50255995,14,0,25,8,0.636363636,1,1,0.757575758,0,0.636363636
0,27.10307195,14,0,25,8,0.636363636,1,1,0.757575758,0,0.636363636
0,32.62368633,14,0,25,8,0.636363636,1,1,0.757575758,0,0.636363636
0,39.2484236,14,0,25,8,0.636363636,1,1,0.757575758,0,0.636363636
0,47.19810832,14,0,25,8,0.636363636,1,1,0.757575758,0,0.636363636
0,56.73772999,14,0,25,8,0.636363636,1,1,0.757575758,0,0.636363636
0,68.18527598,13,0,25,9,0.590909091,1,1,0.735294118,0,0.590909091
0,81.92233118,13,0,25,9,0.590909091,1,1,0.735294118,0,0.590909091
0,98.40679742,12,0,25,10,0.545454545,1,1,0.714285714,0,0.545454545
0,118.1881569,12,0,25,10,0.545454545,1,1,0.714285714,0,0.545454545
0,0,0,0,0,0,0,1,1,0,0,0
