,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.857142857,0,0,1,1,0
0,0.1,12,7,21,2,0.857142857,0.75,0.631578947,0.913043478,0.25,0.607142857
0,0.22,12,6,22,2,0.857142857,0.785714286,0.666666667,0.916666667,0.214285714,0.642857143
0,0.364,12,4,24,2,0.857142857,0.857142857,0.75,0.923076923,0.142857143,0.714285714
0,0.5368,12,4,24,2,0.857142857,0.857142857,0.75,0.923076923,0.142857143,0.714285714
0,0.74416,12,3,25,2,0.857142857,0.892857143,0.8,0.925925926,0.107142857,0.75
0,0.992992,12,3,25,2,0.857142857,0.892857143,0.8,0.925925926,0.107142857,0.75
0,1.2915904,12,3,25,2,0.857142857,0.892857143,0.8,0.925925926,0.107142857,0.75
0,1.64990848,12,3,25,2,0.857142857,0.892857143,0.8,0.925925926,0.107142857,0.75
0,2.079890176,12,3,25,2,0.857142857,0.892857143,0.8,0.925925926,0.107142857,0.75
0,2.595868211,12,2,26,2,0.857142857,0.928571429,0.857142857,0.928571429,0.071428571,0.785714286
0,3.215041853,12,2,26,2,0.857142857,0.928571429,0.857142857,0.928571429,0.071428571,0.785714286
0,3.958050224,12,2,26,2,0.857142857,0.928571429,0.857142857,0.928571429,0.071428571,0.785714286
0,4.849660269,11,2,26,3,0.785714286,0.928571429,0.846153846,0.896551724,0.071428571,0.714285714
0,5.919592323,11,2,26,3,0.785714286,0.928571429,0.846153846,0.896551724,0.071428571,0.714285714
0,7.203510787,11,1,27,3,0.785714286,0.964285714,0.916666667,0.9,0.035714286,0.75
0,8.744212945,10,1,27,4,0.714285714,0.964285714,0.909090909,0.870967742,0.035714286,0.678571429
0,10.59305553,10,1,27,4,0.714285714,0.964285714,0.909090909,0.870967742,0.035714286,0.678571429
0,12.81166664,10,1,27,4,0.714285714,0.964285714,0.909090909,0.870967742,0.035714286,0.678571429
0,15.47399997,10,1,27,4,0.714285714,0.964285714,0.909090909,0.870967742,0.035714286,0.678571429
0,18.66879996,9,1,27,5,0.642857143,0.964285714,0.9,0.84375,0.035714286,0.607142857
0,22.50255995,9,1,27,5,0.642857143,0.964285714,0.9,0.84375,0.035714286,0.607142857
0,27.10307195,9,0,28,5,0.642857143,1,1,0.848484848,0,0.642857143
0,32.62368633,7,0,28,7,0.5,1,1,0.8,0,0.5
0,39.2484236,7,0,28,7,0.5,1,1,0.8,0,0.5
0,47.19810832,6,0,28,8,0.428571429,1,1,0.777777778,0,0.428571429
0,56.73772999,5,0,28,9,0.357142857,1,1,0.756756757,0,0.357142857
0,68.18527598,5,0,28,9,0.357142857,1,1,0.756756757,0,0.357142857
0,81.92233118,5,0,28,9,0.357142857,1,1,0.756756757,0,0.357142857
0,98.40679742,5,0,28,9,0.357142857,1,1,0.756756757,0,0.357142857
0,118.1881569,5,0,28,9,0.357142857,1,1,0.756756757,0,0.357142857
0,0,0,0,0,0,0,1,1,0,0,0
