,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,0.867768595,0,0,1,1,0
0,0.1,105,41,129,16,0.867768595,0.758823529,0.719178082,0.889655172,0.241176471,0.626592124
0,0.22,105,32,138,16,0.867768595,0.811764706,0.766423358,0.896103896,0.188235294,0.679533301
0,0.364,104,28,142,17,0.859504132,0.835294118,0.787878788,0.893081761,0.164705882,0.69479825
0,0.5368,102,22,148,19,0.842975207,0.870588235,0.822580645,0.886227545,0.129411765,0.713563442
0,0.74416,102,19,151,19,0.842975207,0.888235294,0.842975207,0.888235294,0.111764706,0.731210501
0,0.992992,102,16,154,19,0.842975207,0.905882353,0.86440678,0.89017341,0.094117647,0.74885756
0,1.2915904,101,15,155,20,0.834710744,0.911764706,0.870689655,0.885714286,0.088235294,0.74647545
0,1.64990848,101,11,159,20,0.834710744,0.935294118,0.901785714,0.888268156,0.064705882,0.770004861
0,2.079890176,101,9,161,20,0.834710744,0.947058824,0.918181818,0.889502762,0.052941176,0.781769567
0,2.595868211,99,7,163,22,0.818181818,0.958823529,0.933962264,0.881081081,0.041176471,0.777005348
0,3.215041853,97,5,165,24,0.801652893,0.970588235,0.950980392,0.873015873,0.029411765,0.772241128
0,3.958050224,92,5,165,29,0.760330579,0.970588235,0.948453608,0.850515464,0.029411765,0.730918814
0,4.849660269,90,4,166,31,0.743801653,0.976470588,0.957446809,0.842639594,0.023529412,0.720272241
0,5.919592323,88,4,166,33,0.727272727,0.976470588,0.956521739,0.834170854,0.023529412,0.703743316
0,7.203510787,84,3,167,37,0.694214876,0.982352941,0.965517241,0.818627451,0.017647059,0.676567817
0,8.744212945,83,3,167,38,0.685950413,0.982352941,0.965116279,0.814634146,0.017647059,0.668303354
0,10.59305553,82,2,168,39,0.67768595,0.988235294,0.976190476,0.811594203,0.011764706,0.665921245
0,12.81166664,79,2,168,42,0.652892562,0.988235294,0.975308642,0.8,0.011764706,0.641127856
0,15.47399997,78,2,168,43,0.644628099,0.988235294,0.975,0.796208531,0.011764706,0.632863393
0,18.66879996,77,2,168,44,0.636363636,0.988235294,0.974683544,0.79245283,0.011764706,0.62459893
0,22.50255995,75,2,168,46,0.619834711,0.988235294,0.974025974,0.785046729,0.011764706,0.608070005
0,27.10307195,72,1,169,49,0.595041322,0.994117647,0.98630137,0.775229358,0.005882353,0.589158969
0,32.62368633,67,1,169,54,0.553719008,0.994117647,0.985294118,0.757847534,0.005882353,0.547836655
0,39.2484236,66,1,169,55,0.545454545,0.994117647,0.985074627,0.754464286,0.005882353,0.539572193
0,47.19810832,63,1,169,58,0.520661157,0.994117647,0.984375,0.744493392,0.005882353,0.514778804
0,56.73772999,62,1,169,59,0.512396694,0.994117647,0.984126984,0.74122807,0.005882353,0.506514341
0,68.18527598,59,1,169,62,0.487603306,0.994117647,0.983333333,0.731601732,0.005882353,0.481720953
0,81.92233118,57,1,169,64,0.47107438,0.994117647,0.982758621,0.725321888,0.005882353,0.465192027
0,98.40679742,55,1,169,66,0.454545455,0.994117647,0.982142857,0.719148936,0.005882353,0.448663102
0,118.1881569,53,0,170,68,0.438016529,1,1,0.714285714,0,0.438016529
0,0,0,0,0,0,0,1,1,0,0,0
