,row,Species,RPM,adjustedRPM,microbial %,Hits,Truth,Run,RPMThreshold,sampleType,cycles,organism,total reads,dilution factor,nanodrop
0,1125,Propionibacterium acnes,1.5904755959412653,0.28115901980044605,0.008888888888888889,8.0,FP,BF23bc,0.1,CSF,9.5,nan,5029942.0,1.0,
0,1125,Enterobacter cloacae,0.7952377979706327,0.14057950990022303,0.0044444444444444444,4.0,Extra FP,BF23bc,0.1,CSF,9.5,nan,5029942.0,1.0,
0,1125,Citrobacter freundii,0.7952377979706327,0.13355053440521186,0.0044444444444444444,4.0,Extra FP,BF23bc,0.1,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas aeruginosa,0.5964283484779744,0.10543463242516725,0.0033333333333333335,3.0,Extra FP,BF23bc,0.1,CSF,9.5,nan,5029942.0,1.0,
0,1125,Erythrobacter litoralis,0.3976188989853163,0.07028975495011151,0.0022222222222222222,2.0,Extra TN,BF23bc,0.1,CSF,9.5,nan,5029942.0,1.0,
0,1124,Methylobacterium aquaticum,0.3571873779981862,0.25256961713676007,0.15384615384615385,2.0,TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Acetobacter nitrogenifigens,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Pseudomonas pseudoalcaligenes,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Pseudomonas sp. LM13,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Pseudomonas sp. JR1,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1138,Enterobacter cloacae,0.3104796024991745,0.620959204998349,0.044444444444444446,2.0,TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Acetobacter nitrogenifigens,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Pseudomonas putida,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Pseudomonas sp. Lz4W,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
