,row,Species,RPM,adjustedRPM,microbial %,Hits,Truth,Run,RPMThreshold,sampleType,cycles,organism,total reads,dilution factor,nanodrop
0,BF108,Pseudomonas aeruginosa,170.05464026388915,340.1092805277783,0.9786324786324786,229,TP,BFNanopore_3_v1,1,Abscess,6.0,Bacteria,1346626.0,,
0,BF108,Acidithiobacillus caldus,0.0,0.0,0.0,0,TN,BFNanopore_3_v1,1,Abscess,6.0,Bacteria,1346626.0,,
0,BF108,Staphylococcus capitis,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Abscess,6.0,Bacteria,1346626.0,,
0,BF108,Staphylococcus aureus,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Abscess,6.0,Bacteria,1346626.0,,
0,BF108,Sphingomonas sp. NIC1,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Abscess,6.0,Bacteria,1346626.0,,
0,BF108,Magnetospirillum gryphiswaldense,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Abscess,6.0,Bacteria,1346626.0,,
0,BF108,Paracoccus kondratievae,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Abscess,6.0,Bacteria,1346626.0,,
0,BF108,Pseudomonas sp. ATCC 13867,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Abscess,6.0,Bacteria,1346626.0,,
0,BF108,Pseudomonas mendocina,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Abscess,6.0,Bacteria,1346626.0,,
0,BF108,Pseudomonas koreensis,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Abscess,6.0,Bacteria,1346626.0,,
0,BF117,Acidithiobacillus caldus,1.570420809960237,0.09815130062251481,0.043478260869565216,1,TN,BFNanopore_3_v1,1,Pleural Fluid,11.0,nan,636772.0,,
0,BF117,Acidovorax citrulli,1.570420809960237,0.09815130062251481,0.043478260869565216,1,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,11.0,nan,636772.0,,
0,BF117,Xanthomonas campestris,1.570420809960237,0.09815130062251481,0.043478260869565216,1,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,11.0,nan,636772.0,,
0,BF117,Staphylococcus capitis,1.570420809960237,0.09815130062251481,0.043478260869565216,1,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,11.0,nan,636772.0,,
0,BF117,Mycobacterium sp. QIA-37,1.570420809960237,0.09815130062251481,0.043478260869565216,1,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,11.0,nan,636772.0,,
0,BF117,Acinetobacter junii,1.570420809960237,0.09815130062251481,0.043478260869565216,1,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,11.0,nan,636772.0,,
0,BF117,Micrococcus luteus,1.570420809960237,0.09815130062251481,0.043478260869565216,1,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,11.0,nan,636772.0,,
0,BF117,Comamonadaceae bacterium A1,1.570420809960237,0.09815130062251481,0.043478260869565216,1,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,11.0,nan,636772.0,,
0,BF117,Hydrogenophaga sp. RAC07,1.570420809960237,0.09815130062251481,0.043478260869565216,1,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,11.0,nan,636772.0,,
0,BF117,Methylovorus glucosotrophus,1.570420809960237,0.09815130062251481,0.043478260869565216,1,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,11.0,nan,636772.0,,
0,BF126,Staphylococcus aureus,34.82571776828606,1114.422968585154,0.9444444444444444,17,TP,BFNanopore_3_v1,1,Pleural Fluid,2.0,Bacteria,488145.0,,
0,BF126,Acidithiobacillus caldus,0.0,0.0,0.0,0,TN,BFNanopore_3_v1,1,Pleural Fluid,2.0,Bacteria,488145.0,,
0,BF126,Pseudomonas aeruginosa,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,2.0,Bacteria,488145.0,,
0,BF126,Staphylococcus capitis,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,2.0,Bacteria,488145.0,,
0,BF126,Sphingomonas sp. NIC1,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,2.0,Bacteria,488145.0,,
0,BF126,Magnetospirillum gryphiswaldense,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,2.0,Bacteria,488145.0,,
0,BF126,Paracoccus kondratievae,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,2.0,Bacteria,488145.0,,
0,BF126,Pseudomonas sp. ATCC 13867,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,2.0,Bacteria,488145.0,,
0,BF126,Pseudomonas mendocina,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,2.0,Bacteria,488145.0,,
0,BF126,Pseudomonas koreensis,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Pleural Fluid,2.0,Bacteria,488145.0,,
0,BF138,Staphylococcus aureus,2.497267573063806,1.248633786531903,0.6,3,TP,BFNanopore_3_v1,1,Joint Fluid,8.0,Bacteria,1201313.0,,
0,BF138,Kocuria rhizophila,0.8324225243546021,0.41621126217730103,0.2,1,TN,BFNanopore_3_v1,1,Joint Fluid,8.0,Bacteria,1201313.0,,
0,BF138,Pseudomonas aeruginosa,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Joint Fluid,8.0,Bacteria,1201313.0,,
0,BF138,Staphylococcus capitis,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Joint Fluid,8.0,Bacteria,1201313.0,,
0,BF138,Sphingomonas sp. NIC1,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Joint Fluid,8.0,Bacteria,1201313.0,,
0,BF138,Magnetospirillum gryphiswaldense,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Joint Fluid,8.0,Bacteria,1201313.0,,
0,BF138,Paracoccus kondratievae,0.0,0.0,0.0,0,Extra TN,BFNanopore_3_v1,1,Joint Fluid,8.0,Bacteria,1201313.0,,
