,row,Species,RPM,adjustedRPM,microbial %,Hits,Truth,Run,RPMThreshold,sampleType,cycles,organism,total reads,dilution factor,nanodrop
0,507,Staphylococcus aureus,75.02597725870629,1.6578555401493413,0.27285579641847313,579.0,FN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Serratia marcescens,59.08781628664951,1.3056686119310874,0.21489161168708765,456.0,TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Serratia sp. SCBI,9.588812292131719,0.2118848186028519,0.034872761545711596,74.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Caldanaerobacter subterraneus,5.701455957483725,0.12598556781791195,0.020735155513666354,44.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Anoxybacillus flavithermus,3.369042156694928,0.07444601734694796,0.012252591894439209,26.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Helicobacter pylori,3.239463612206662,0.07158270898744998,0.0117813383600377,25.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Serratia sp. FS14,2.721149434253596,0.060129475549457974,0.009896324222431668,21.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Thermoanaerobacterium saccharolyticum,2.461992345277063,0.054402858830461975,0.008953817153628653,19.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Alicyclobacillus acidocaldarius,2.3324138007887965,0.05153955047096398,0.008482563619227144,18.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Thermoanaerobacterium thermosaccharolyticum,1.684521078347464,0.03722300867347398,0.006126295947219604,13.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Lactobacillus casei,1.0366283559061318,0.02290646687598399,0.003770028275212064,8.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Microbacterium testaceum,1.0366283559061318,0.02290646687598399,0.003770028275212064,8.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
0,507,Geobacillus sp. WCH70,0.9070498114178653,0.02004315851648599,0.003298774740810556,7.0,Extra TN,BF19hiseq,118.1881568998848,Fluid left heel in CTM,12.5,Bacteria,7717327.0,1.0,274.8
