,row,Species,RPM,adjustedRPM,microbial %,Hits,Truth,Run,RPMThreshold,sampleType,cycles,organism,total reads,dilution factor,nanodrop,colonies
0,83,Staphylococcus aureus,60.20064521,3852.841293,0.883116883,68,TP,BF4miseq,2.079890176,Retroperitoneal Fluid,1,Bacteria,1129556,1,,Numerous
0,85,Enterobacter aerogenes,9572.283309,19144.56662,0.889487871,14850,TP,BF4miseq,2.079890176,CSF,6,Bacteria,1551354,1,,Rare
0,105,Staphylococcus aureus,1.512089534,0.033412774,2.51E-05,2,FN,BF15hiseqPE,2.079890176,Joint Fluid,12.5,Bacteria,1322673,16.66666667,42.7,Enrichment Broth
0,108,Pseudomonas aeruginosa,73.58210483,147.1642097,0.889502762,161,TP,BF4miseq,2.079890176,Abscess,6,Bacteria,2188032,1,,Moderate
0,124,Pseudomonas aeruginosa,2.216557686,141.8596919,0.166666667,1,FN,BF4miseq,2.079890176,BAL,1,Bacteria,451150,1,,Negative
0,124,Staphylococcus aureus,0,0,0,0,FN,BF4miseq,2.079890176,BAL,1,Bacteria,451150,1,,Rare
0,126,Staphylococcus aureus,75.68494879,2421.918361,0.857142857,48,TP,BF4miseq,2.079890176,Pleural Fluid,2,Bacteria,634208,1,97.4,Few
0,133,Haemophilus influenzae,11095.59413,22191.18826,0.974019949,8398,TP,BFplasma1,2.079890176,BAL,6,Bacteria,756877,1,,Negative
0,136,Staphylococcus aureus,2.303786503,2.303786503,0.307692308,4,TP,BF4miseq,2.079890176,Peritoneal Fluid,7,Bacteria,1736272,1,,Moderate
0,137,Staphylococcus aureus,0.281312865,0.049729559,0.095238095,2,FN,BF15hiseqPE,2.079890176,Joint Fluid,9.5,Bacteria,7109522,50,302.5,Rare
0,138,Staphylococcus aureus,2.556080404,1.278040202,1,2,FN,BF4miseq,2.079890176,Joint Fluid,8,Bacteria,782448,1,,Rare
0,139,Pseudomonas aeruginosa,132.1364095,373.7382049,0.956074125,1393,TP,BF15hiseqPE,2.079890176,Vitreous Fluid,5.5,Bacteria,10542136,6.25,,Rare
0,140,Staphylococcus aureus,3.745857082,3.745857082,0.2,5,TP,BF4miseq,2.079890176,BAL,7,Bacteria,1334808,1,,Rare
0,149,Serratia sp. SCBI,258.4988578,1033.995431,0.70141196,1689,TP,BF15hiseqPE,2.079890176,Pleural Fluid,5,Bacteria,6533878,50,163,Rare
0,149,Enterococcus faecium,12.24387722,48.97550888,0.033222591,80,TP,BF15hiseqPE,2.079890176,Pleural Fluid,5,Bacteria,6533878,50,163,Negative
0,161,Staphylococcus epidermidis,40425.22751,5053.153439,0.903381381,50013,TP,BF4miseq,2.079890176,CSF,10,Bacteria,1237173,1,,Moderate
0,162,Serratia sp. SCBI,133.0774944,47.04999937,0.677165354,86,TP,BF4miseq,2.079890176,Pleural Fluid,8.5,Bacteria,646240,1,,Rare
0,162,Enterococcus faecium,12.37930181,4.376744127,0.062992126,8,TP,BF4miseq,2.079890176,Pleural Fluid,8.5,Bacteria,646240,1,,Negative
0,168,Enterococcus faecium,1233.272016,154.159002,0.821222607,712,TP,BF4miseq,2.079890176,CSF,10,Bacteria,577326,1,,Rare
