,row,Species,RPM,adjustedRPM,microbial %,Hits,Truth,Run,RPMThreshold,sampleType,cycles,organism,total reads,dilution factor,nanodrop
0,1125,Coccidioides immitis,88.27139557474023,15.604325598924754,0.49333333333333335,444.0,TP,BF23bc,0.01,CSF,9.5,Fungi,5029942.0,1.0,
0,1125,Blastomyces dermatitidis,0.5964283484779744,0.10543463242516725,0.0033333333333333335,3.0,FP,BF23bc,0.01,CSF,9.5,Fungi,5029942.0,1.0,
0,1125,Trichophyton verrucosum,0.3976188989853163,0.07028975495011151,0.0022222222222222222,2.0,Extra FP,BF23bc,0.01,CSF,9.5,Fungi,5029942.0,1.0,
0,1125,Auxarthron sp. 07MA16,0.19880944949265816,0.03514487747505576,0.0011111111111111111,1.0,Extra FP,BF23bc,0.01,CSF,9.5,Fungi,5029942.0,1.0,
0,1125,Histoplasma capsulatum,0.19880944949265816,0.029873145853797394,0.0011111111111111111,1.0,Extra FP,BF23bc,0.01,CSF,9.5,Fungi,5029942.0,1.0,
0,1124,Acarospora fulvoviridula,0.0,0.0,0.0,0.0,TN,BF23bc,0.01,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Zygosaccharomyces gambellarensis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Tetrapisispora sp. CFL-2013a,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Torulaspora franciscae,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Torulaspora globosa,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1138,Acarospora fulvoviridula,0.0,0.0,0.0,0.0,TN,BF23bc,0.01,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Zygosaccharomyces gambellarensis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Tetrapisispora sp. CFL-2013a,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Torulaspora franciscae,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Torulaspora globosa,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1153LW6,Candida asparagi,0.17247723796330944,0.02155965474541368,0.0025806451612903226,2.0,FP,BF23bc,0.01,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Lodderomyces elongisporus,0.08623861898165472,0.01077982737270684,0.0012903225806451613,1.0,Extra FP,BF23bc,0.01,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Heligmosomoides polygyrus,0.08623861898165472,0.01077982737270684,0.0012903225806451613,1.0,Extra FP,BF23bc,0.01,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Acarospora fulvoviridula,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Zygosaccharomyces parabailii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1168LW25,Lodderomyces elongisporus,0.13774558143167523,0.13774558143167523,0.030303030303030304,1.0,FP,BF23bc,0.01,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Acarospora fulvoviridula,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Zygosaccharomyces parabailii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Torulaspora globosa,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Torulaspora microellipsoides,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1111,Trichoderma reesei,0.2120285941762106,0.004685214273357783,0.003067484662576687,1.0,TN,BF23bc,0.01,CSF,12.5,nan,4716345.0,1.0,
0,1111,Acarospora fulvoviridula,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,CSF,12.5,nan,4716345.0,1.0,
0,1111,Zygosaccharomyces mellis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,CSF,12.5,nan,4716345.0,1.0,
0,1111,Torulaspora franciscae,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,CSF,12.5,nan,4716345.0,1.0,
0,1111,Torulaspora globosa,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.01,CSF,12.5,nan,4716345.0,1.0,
0,976,Agaricus bisporus,0.0,0.0,0.0,0.0,TN,BF22cd,0.01,BAL,6.5,nan,14066224.0,1.0,
0,976,Pyrenophora tritici-repentis,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,BAL,6.5,nan,14066224.0,1.0,
0,976,Verticillium dahliae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,BAL,6.5,nan,14066224.0,1.0,
0,976,Verticillium alfalfae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,BAL,6.5,nan,14066224.0,1.0,
0,976,Candida boidinii,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,BAL,6.5,nan,14066224.0,1.0,
0,977,Lodderomyces elongisporus,0.06768059645014594,0.09571481740929676,0.014388489208633094,2.0,FP,BF22cd,0.01,Pleural Fluid,6.5,nan,29550567.0,1.0,
0,977,Agaricus bisporus,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,6.5,nan,29550567.0,1.0,
0,977,Pyrenophora tritici-repentis,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,6.5,nan,29550567.0,1.0,
0,977,Verticillium dahliae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,6.5,nan,29550567.0,1.0,
0,977,Verticillium alfalfae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,6.5,nan,29550567.0,1.0,
0,979,Agaricus bisporus,0.0,0.0,0.0,0.0,TN,BF22cd,0.01,Peritoneal Fluid,7.0,nan,18395347.0,1.0,
0,979,Pyrenophora tritici-repentis,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Peritoneal Fluid,7.0,nan,18395347.0,1.0,
0,979,Verticillium dahliae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Peritoneal Fluid,7.0,nan,18395347.0,1.0,
0,979,Verticillium alfalfae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Peritoneal Fluid,7.0,nan,18395347.0,1.0,
0,979,Candida boidinii,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Peritoneal Fluid,7.0,nan,18395347.0,1.0,
0,980,Agaricus bisporus,0.0,0.0,0.0,0.0,TN,BF22cd,0.01,Pleural Fluid,7.5,nan,15323980.0,1.0,
0,980,Pyrenophora tritici-repentis,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,7.5,nan,15323980.0,1.0,
0,980,Verticillium dahliae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,7.5,nan,15323980.0,1.0,
0,980,Verticillium alfalfae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,7.5,nan,15323980.0,1.0,
0,980,Candida boidinii,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,7.5,nan,15323980.0,1.0,
0,981,Agaricus bisporus,0.0,0.0,0.0,0.0,TN,BF22cd,0.01,Pleural Fluid,7.0,nan,5758501.0,1.0,
0,981,Pyrenophora tritici-repentis,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,7.0,nan,5758501.0,1.0,
0,981,Verticillium dahliae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,7.0,nan,5758501.0,1.0,
0,981,Verticillium alfalfae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,7.0,nan,5758501.0,1.0,
0,981,Candida boidinii,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,Pleural Fluid,7.0,nan,5758501.0,1.0,
0,992,Botrytis cinerea,0.23336057429103893,0.0012891472229904746,0.0019398642095053346,2.0,TN,BF22cd,0.01,CSF,14.5,nan,8570428.0,1.0,
0,992,Strongylocentrotus purpuratus,0.11668028714551947,0.0006445736114952373,0.0009699321047526673,1.0,Extra TN,BF22cd,0.01,CSF,14.5,nan,8570428.0,1.0,
0,992,Agaricus bisporus,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,CSF,14.5,nan,8570428.0,1.0,
0,992,Nectria haematococca,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,CSF,14.5,nan,8570428.0,1.0,
0,992,Verticillium alfalfae,0.0,0.0,0.0,0.0,Extra TN,BF22cd,0.01,CSF,14.5,nan,8570428.0,1.0,
0,_93,Lodderomyces elongisporus,0.15611535051018496,0.44156089197226617,0.0011325028312570782,1.0,FP,BF15hiseqPE_rerun_part2,0.01,Joint Fluid,5.5,nan,6405520.0,83.33333333,442.0
0,_93,Angiostrongylus cantonensis,0.0,0.0,0.0,0.0,Extra TN,BF15hiseqPE_rerun_part2,0.01,Joint Fluid,5.5,nan,6405520.0,83.33333333,442.0
0,_93,Aspergillus fumigatus,0.0,0.0,0.0,0.0,Extra TN,BF15hiseqPE_rerun_part2,0.01,Joint Fluid,5.5,nan,6405520.0,83.33333333,442.0
0,_93,Absidia idahoensis,0.0,0.0,0.0,0.0,Extra TN,BF15hiseqPE_rerun_part2,0.01,Joint Fluid,5.5,nan,6405520.0,83.33333333,442.0
0,_93,Byssochlamys spectabilis,0.0,0.0,0.0,0.0,Extra TN,BF15hiseqPE_rerun_part2,0.01,Joint Fluid,5.5,nan,6405520.0,83.33333333,442.0
0,453,Angiostrongylus cantonensis,0.41470235982230835,0.03665485635055224,4.071827028787817e-05,1.0,FP,BF15hiseqPE_rerun_part2,0.01,Urine,10.5,nan,2411368.0,1.041666667,
