,row,Species,RPM,adjustedRPM,microbial %,Hits,Truth,Run,RPMThreshold,sampleType,cycles,organism,total reads,dilution factor,nanodrop
0,1124,Acarospora fulvoviridula,0.0,0.0,0.0,0.0,TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Zygosaccharomyces gambellarensis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Tetrapisispora sp. CFL-2013a,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Torulaspora franciscae,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Torulaspora globosa,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Torulaspora microellipsoides,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Vanderwaltozyma polyspora,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Vanderwaltozyma tropicalis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Zygosaccharomyces bailii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1124,Zygosaccharomyces mellis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,7.5,nan,5599302.0,1.0,
0,1138,Acarospora fulvoviridula,0.0,0.0,0.0,0.0,TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Zygosaccharomyces gambellarensis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Tetrapisispora sp. CFL-2013a,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Torulaspora franciscae,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Torulaspora globosa,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Torulaspora microellipsoides,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Vanderwaltozyma polyspora,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Vanderwaltozyma tropicalis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Zygosaccharomyces bailii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1138,Zygosaccharomyces mellis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,6.0,nan,6441647.0,1.0,
0,1153LW6,Candida asparagi,0.17247723796330944,0.02155965474541368,0.0025806451612903226,2.0,TN,BF23bc,0.1,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Lodderomyces elongisporus,0.08623861898165472,0.01077982737270684,0.0012903225806451613,1.0,Extra TN,BF23bc,0.1,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Heligmosomoides polygyrus,0.08623861898165472,0.01077982737270684,0.0012903225806451613,1.0,Extra TN,BF23bc,0.1,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Acarospora fulvoviridula,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Zygosaccharomyces parabailii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Torulaspora microellipsoides,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Vanderwaltozyma polyspora,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Vanderwaltozyma tropicalis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Zygosaccharomyces bailii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1153LW6,Zygosaccharomyces gambellarensis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Pleural Fluid,10.0,nan,11595733.0,1.0,
0,1168LW25,Lodderomyces elongisporus,0.13774558143167523,0.13774558143167523,0.030303030303030304,1.0,FP,BF23bc,0.1,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Acarospora fulvoviridula,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Zygosaccharomyces parabailii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Torulaspora globosa,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Torulaspora microellipsoides,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Vanderwaltozyma polyspora,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Vanderwaltozyma tropicalis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Zygosaccharomyces bailii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Zygosaccharomyces gambellarensis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1168LW25,Zygosaccharomyces mellis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,Peritoneal Fluid,7.0,nan,7259761.0,1.0,
0,1111,Trichoderma reesei,0.2120285941762106,0.004685214273357783,0.003067484662576687,1.0,TN,BF23bc,0.1,CSF,12.5,nan,4716345.0,1.0,
0,1111,Acarospora fulvoviridula,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,CSF,12.5,nan,4716345.0,1.0,
0,1111,Zygosaccharomyces mellis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,CSF,12.5,nan,4716345.0,1.0,
0,1111,Torulaspora franciscae,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,CSF,12.5,nan,4716345.0,1.0,
0,1111,Torulaspora globosa,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,CSF,12.5,nan,4716345.0,1.0,
0,1111,Torulaspora microellipsoides,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,CSF,12.5,nan,4716345.0,1.0,
0,1111,Vanderwaltozyma polyspora,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,CSF,12.5,nan,4716345.0,1.0,
0,1111,Vanderwaltozyma tropicalis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,CSF,12.5,nan,4716345.0,1.0,
0,1111,Zygosaccharomyces bailii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,0.1,CSF,12.5,nan,4716345.0,1.0,
