,row,Species,RPM,adjustedRPM,microbial %,Hits,Truth,Run,RPMThreshold,sampleType,cycles,organism,total reads,dilution factor,nanodrop
0,1125,Propionibacterium acnes,1.5904755959412653,0.28115901980044605,0.008888888888888889,8.0,TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Enterobacter cloacae,0.7952377979706327,0.14057950990022303,0.0044444444444444444,4.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Citrobacter freundii,0.7952377979706327,0.14057950990022303,0.0044444444444444444,4.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas aeruginosa,0.5964283484779744,0.10543463242516725,0.0033333333333333335,3.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Erythrobacter litoralis,0.3976188989853163,0.07028975495011151,0.0022222222222222222,2.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Achromobacter xylosoxidans,0.3976188989853163,0.07028975495011151,0.0022222222222222222,2.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Methylibium petroleiphilum,0.19880944949265816,0.03514487747505576,0.0011111111111111111,1.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Leptothrix cholodnii,0.19880944949265816,0.03514487747505576,0.0011111111111111111,1.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Sphingomonas sp. MM-1,0.19880944949265816,0.03514487747505576,0.0011111111111111111,1.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Geodermatophilus obscurus,0.19880944949265816,0.03514487747505576,0.0011111111111111111,1.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Novosphingobium pentaromativorans,0.19880944949265816,0.03514487747505576,0.0011111111111111111,1.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Alicycliphilus denitrificans,0.19880944949265816,0.03514487747505576,0.0011111111111111111,1.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Chlorobium phaeobacteroides,0.19880944949265816,0.03514487747505576,0.0011111111111111111,1.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Novosphingobium aromaticivorans,0.19880944949265816,0.03514487747505576,0.0011111111111111111,1.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. LM13,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. 12M76_air,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. Lz4W,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. JR1,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. FGI182,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Acetobacter nitrogenifigens,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas simiae,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas savastanoi,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. MRSN12121,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas resinovorans,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas putida,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas pseudoalcaligenes,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas protegens,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas poae,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas rhizosphaerae,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. UW4,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. MT-1,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. StFLB209,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudonocardia dioxanivorans,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Kutzneria albida,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Amycolatopsis orientalis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Amycolatopsis methanolica,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Amycolatopsis mediterranei,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Amycolatopsis lurida,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Amycolatopsis japonica,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Actinosynnema mirum,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas viridiflava,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas tolaasii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas taeanensis,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas syringae group genomosp. 3,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas syringae,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas stutzeri,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. YY31,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. WCS374,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. VLB120,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas parafulva,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas sp. TKP,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas plecoglossicida,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas knackmussii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Pseudomonas mosselii,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Propionibacterium propionicum,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Propionibacterium avidum,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Propionibacterium acidipropionici,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Microlunatus phosphovorus,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
0,1125,Xylanimonas cellulosilytica,0.0,0.0,0.0,0.0,Extra TN,BF23bc,2.5958682112,CSF,9.5,nan,5029942.0,1.0,
